Season,Date,Opponent Name,Michigan Score,Opponent Score,Event Type,Conference Game
1909,1/9/1909,Michigan Agricultural,16,24,Regular Season,No
1909,1/16/1909,Oberlin,27,25,Regular Season,No
1909,2/20/1909,Michigan Agricultural,25,45,Regular Season,No
1909,2/27/1909,Ohio State,22,29,Regular Season,No
1909,3/6/1909,Ohio State,26,42,Regular Season,No
1917-18,12/15/1917,Case,25,27,Regular Season,No
1917-18,12/30/1917,Camp Custer,44,28,Regular Season,No
1917-18,1/4/1918,Hope,31,15,Regular Season,No
1917-18,1/5/1918,Case,24,20,Regular Season,No
1917-18,1/11/1918,Michigan Agricultural,17,13,Regular Season,No
1917-18,1/18/1918,Indiana,17,21,Regular Season,Yes
1917-18,1/21/1918,Chicago,22,6,Regular Season,Yes
1917-18,1/22/1918,Ohio State,7,37,Regular Season,Yes
1917-18,1/25/1918,Minnesota,13,28,Regular Season,Yes
1917-18,1/26/1918,Northwestern,21,11,Regular Season,Yes
1917-18,2/11/1918,Great Lakes,27,34,Regular Season,No
1917-18,2/13/1918,Kalamazoo,42,8,Regular Season,No
1917-18,2/16/1918,Minnesota,10,49,Regular Season,Yes
1917-18,2/22/1918,Indiana,20,21,Regular Season,Yes
1917-18,2/23/1918,Northwestern,14,18,Regular Season,Yes
1917-18,3/1/1918,Chicago,15,22,Regular Season,Yes
1917-18,3/2/1918,Michigan Agricultural,31,25,Regular Season,No
1917-18,3/9/1918,Ohio State,27,34,Regular Season,Yes
1918-19,12/31/1918,Pontiac Oaklands,21,3,Regular Season,No
1918-19,1/1/1919,Y.M.O. Detroit,29,10,Regular Season,No
1918-19,1/2/1919,Detroit Law,23,15,Regular Season,No
1918-19,1/4/1919,Fort Wayne Nationals,17,11,Regular Season,No
1918-19,1/5/1919,Toledo,24,19,Regular Season,No
1918-19,1/6/1919,Rayls,13,24,Regular Season,No
1918-19,1/10/1919,Custer Officers,25,12,Regular Season,No
1918-19,1/11/1919,St. Mary’s,30,19,Regular Season,No
1918-19,1/17/1919,Detroit,39,18,Regular Season,No
1918-19,1/18/1919,Kalamazoo,49,19,Regular Season,No
1918-19,1/20/1919,Indiana,28,22,Regular Season,Yes
1918-19,1/24/1919,Chicago,13,21,Regular Season,Yes
1918-19,1/25/1919,Northwestern,16,17,Regular Season,Yes
1918-19,1/29/1919,U.S. General Hospital,53,16,Regular Season,No
1918-19,2/1/1919,Illinois,23,27,Regular Season,Yes
1918-19,2/14/1919,Detroit Naval Station,67,7,Regular Season,No
1918-19,2/15/1919,Michigan Agricultural,19,17,Regular Season,No
1918-19,2/21/1919,Ohio State,38,20,Regular Season,Yes
1918-19,2/22/1919,Chicago,22,25,Regular Season,Yes
1918-19,2/28/1919,Michigan Agricultural,24,33,Regular Season,No
1918-19,3/2/1919,Northwestern,24,22,Regular Season,Yes
1918-19,3/8/1919,Ohio State,23,20,Regular Season,Yes
1918-19,3/10/1919,Illinois,22,18,Regular Season,Yes
1918-19,3/11/1919,Indiana,16,24,Regular Season,Yes
1919-20,12/31/1919,Oakland Motor Co.,20,9,Regular Season,No
1919-20,1/1/1920,A.C. Spark Plugs,34,15,Regular Season,No
1919-20,1/4/1920,Detroit Athletic Club,36,17,Regular Season,No
1919-20,1/3/1920,Rayls,14,19,Regular Season,No
1919-20,1/24/1920,Chicago,22,40,Regular Season,Yes
1919-20,1/26/1920,Illinois,18,41,Regular Season,Yes
1919-20,2/14/1920,Wisconsin,13,40,Regular Season,Yes
1919-20,2/28/1920,Michigan Agricultural,27,34,Regular Season,No
1919-20,3/13/1920,Ohio State,20,34,Regular Season,Yes
1919-20,3/16/1920,Indiana,18,19,Regular Season,Yes
1919-20,12/13/1919,Kalamazoo,22,12,Regular Season,No
1919-20,12/18/1919,St. Mary’s,34,22,Regular Season,No
1919-20,1/11/1920,Hillsdale,22,18,Regular Season,No
1919-20,1/16/1920,Western Reserve,33,13,Regular Season,No
1919-20,3/6/1920,Wisconsin,23,19,Regular Season,Yes
1919-20,3/8/1920,Minnesota,30,16,Regular Season,Yes
1919-20,12/19/1919,Western State,14,27,Regular Season,No
1919-20,1/17/1920,Indiana,22,9,Regular Season,Yes
1919-20,1/30/1920,Michigan Agricultural,13,23,Regular Season,No
1919-20,1/31/1920,Ohio State,18,30,Regular Season,Yes
1919-20,2/21/1920,Chicago,19,31,Regular Season,Yes
1919-20,3/1/1920,Illinois,21,28,Regular Season,Yes
1920-21,12/10/1920,Kalamazoo,44,32,Regular Season,No
1920-21,12/18/1920,Western State,26,12,Regular Season,No
1920-21,12/27/1920,Louisville YMHA,32,18,Regular Season,No
1920-21,12/28/1920,Nashville,28,16,Regular Season,No
1920-21,12/29/1920,Jonesboro,24,16,Regular Season,No
1920-21,12/30/1920,Memphis YMCA,14,11,Regular Season,No
1920-21,12/31/1920,Nashville,28,11,Regular Season,No
1920-21,1/1/1921,Vanderbilt,21,7,Regular Season,No
